institution_id,project_id_number
12925,5405497
12925,98301673
12925,5171170
12925,5269834
12925,391065346
12925,256583922
12925,387992026
12925,256847276
12925,256806357
12925,387482412
12925,5429270
12925,5429405
12925,5429508
12925,5429446
12925,5428354
12925,171106931
12925,390744482
12925,215979250
12925,215882423
12925,215633518
12925,310605213
12925,194490384
40075449,273083
10818,5389177
10818,23384097
10818,5432266
10818,5431093
10818,5219546
10818,5280396
10818,5294956
20754194,5201434
35449819,242727105
35449819,257460896
35449819,269130442
35449819,264005490
35449819,5447382
35449819,227953431
35449819,264061860
35449819,290056682
35449819,193749039
35449819,316544700
35449819,316546650
35449819,316524818
35449819,316502814
35449819,259373024
35449819,277101999
35449819,327043846
388886,240515804
388886,193488820
388886,268795081
388886,318665205
980470,5330838
980470,23549822
980470,291089196
980470,279232664
980470,5114346
350786225,34118476
350786225,216400932
350786225,34261998
350786225,231775011
350786225,281328414
350786225,19760254
87364677,5231792
87364677,5411207
87364677,5345795
87364677,23609615
87364677,224201233
12914,325969278
12914,277243906
12914,397562308
12914,406251203
12914,5289212
12914,5448958
12914,5211754
12914,212264940
12914,200569518
12914,183472442
12914,5359996
12914,191700999
12914,39399990
12914,247815257
12914,203121939
12914,203096210
12914,260982622
12914,260963636
12914,231064407
12914,260974942
12914,5353886
12914,5422951
12914,229241684
12914,316372061
323277193,92382671
323277193,210792785
320338232,320336785
17217,248407730
17217,30205686
17217,5420080
17217,5371281
17217,5343910
17217,167647315
17217,5343926
17217,193481704
17217,248681539
17217,273397
17217,20641893
12714908,5364647
329404388,329397061
279149447,279144839
10681,16912745
10681,19943670
10681,5354490
10681,5478566
10681,24184035
374565696,272716263
374565696,275536999
374565696,226059734
374565696,72701794
374565696,5450420
374565696,278981703
374565696,38908493
374565696,194523036
10357,31047526
10357,45647023
10357,35491259
10357,228986550
10357,35491110
10357,228350398
10357,228688053
10357,5478809
10357,5480264
10357,5481378
10357,5484710
10357,5484782
10357,5484963
10357,5485044
10357,5485142
10357,5486253
10357,230535236
10357,209482742
10357,184656777
10357,398186925
10357,101188936
10357,281242909
10357,102274505
10357,267524297
10357,253124894
10357,241131402
10357,267141969
10357,63157568
10357,64693619
10357,202785095
10357,232161940
10357,56501248
10357,80545230
10357,263953376
10357,320047192
10357,222708598
10357,288359129
10357,56481430
10357,59983478
10357,87017268
10357,62993412
10357,185155841
10357,202784085
10357,111882171
10357,104488083
10357,322517207
10357,319810681
10357,319842213
10357,243199186
10357,204119356
10357,188195578
10357,396572538
10357,244978233
10357,226735559
10357,203223664
10357,344418428
10357,281314717
10357,188272534
10357,287067853
10357,124354290
10357,244428347
10357,194827213
10357,262732820
10357,265461052
10357,189853844
10357,328545488
10357,5484588
10357,105533105
10357,270489335
10357,270059
10357,270351
10357,272261
10357,272273
10357,273623
10357,373608
10357,202548816
10357,319936945
10357,42226393
33383314,33279334
33383314,5395803
19454010,36780710
19454010,278164843
19454010,289328479
19454010,83478197
19454010,224836998
19454010,257472439
19454010,238011690
165112595,165111547
222539075,159414229
222539075,228897633
222539075,24389404
20699092,5256304
21093560,360460695
21093560,360211437
21093560,329210141
21093560,269419281
137236277,40813368
251068578,43905248
276103349,217693948
240166688,5480425
240166688,5359057
392015822,392015269
10406,201767716
10406,202718286
10406,334853253
370726,231416133
370726,20006554
284004205,284002692
16092524,5401354
55989664,288472689
970754,264400441
20765686,5272080
14358,388268385
14358,283336994
14358,5135416
14358,5287624
14358,5089716
14358,228269688
14358,5288964
14358,5309788
14358,5390028
14358,5430459
14358,221484288
14358,15131332
14358,5249030
14358,5368634
14358,128144870
14358,5454795
14358,128101526
14358,166038299
14358,289665220
14358,64100339
14358,273275
54802192,54802122
12919,5149940
