name,address,phone,fax,email,internet
Deutsches Schifffahrtsmuseum Bremerhaven,Deutsches Schifffahrtsmuseum Bremerhaven,null,null,null,null
Technische Universität Berlin,Technische Universität Berlin,null,null,null,null
Freie Universität Berlin,Freie Universität Berlin,null,null,null,null
Naturkundemuseum Potsdam,Naturkundemuseum Potsdam,null,null,null,null
Leibniz Universität Hannover,Leibniz Universität Hannover,null,null,null,null
"Leibniz-Institut für Gewässerökologie und Binnenfischerei, Berlin","Leibniz-Institut für Gewässerökologie und Binnenfischerei, Berlin",null,null,null,null
"Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg","Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg",null,null,null,null
"Leibniz-Institut für Zoo- und Wildtierforschung, Berlin","Leibniz-Institut für Zoo- und Wildtierforschung, Berlin",null,null,null,null
Görgen & Köller GmbH,"Luxemburger Str. 79-83, 50354 Hürth",null,null,null,null
Martin-Luther-Universität Halle-Wittenberg,Martin-Luther-Universität Halle-Wittenberg,null,null,null,null
Tierärztliche Hochschule Hannover,Tierärztliche Hochschule Hannover,null,null,null,null
Leibniz-Institut für Nutztierbiologie Dummerstorf,Leibniz-Institut für Nutztierbiologie Dummerstorf,null,null,null,null
Ecologic Institut,Ecologic Institut,null,null,null,null
Universidad Nacional de Colombia,Universidad Nacional de Colombia,null,null,null,null
"University of Kansas, USA","University of Kansas, USA",null,null,null,null
"Natural History Museum London, UK","Natural History Museum London, UK",null,null,null,null
"Naturhistoriska riksmuseet, Schweden","Naturhistoriska riksmuseet, Schweden",null,null,null,null
"Cornelsen Verlag GmbH, Berlin","Cornelsen Verlag GmbH, Berlin",null,null,null,null
"Cornelsen Experimenta GmbH, Berlin","Cornelsen Experimenta GmbH, Berlin",null,null,null,null
"shoutr labs UG, Berlin","shoutr labs UG, Berlin",null,null,null,null
"Unabhängiges Institut für Umweltfragen e.V., Berlin","Unabhängiges Institut für Umweltfragen e.V., Berlin",null,null,null,null
Universität Greifswald,Universität Greifswald,null,null,null,null
"University of Glasgow, UK","University of Glasgow, UK",null,null,null,null
Universität Wien,Universität Wien,null,null,null,null
Universität Köln,Universität Köln,null,null,null,null
Fraunhofer-Institut für Kurzzeitdynamik Ernst-Mach Institut,Fraunhofer-Institut für Kurzzeitdynamik Ernst-Mach Institut,null,null,null,null
"Tōkyō Daigaku, Japan","Tōkyō Daigaku, Japan",null,null,null,null
"Ditsong National Museum of Natural History, Südafrika","Ditsong National Museum of Natural History, Südafrika",null,null,null,null
"Stazione Zoologica Anton Dohrn, Italien","Stazione Zoologica Anton Dohrn, Italien",null,null,null,null
Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,null,null,null,null
"Max-Planck-Institut für Evolutionsbiologie, Plön","Max-Planck-Institut für Evolutionsbiologie, Plön",null,null,null,null
Bundesanstalt für Materialforschung und -prüfung Berlin,Bundesanstalt für Materialforschung und -prüfung Berlin,null,null,null,null
"Universidade de São Paulo, Brasilien","Universidade de São Paulo, Brasilien",null,null,null,null
Helmholtz-Zentrum Berlin,Helmholtz-Zentrum Berlin,null,null,null,null
"Ferdowsi University of Mashhad, Iran","Ferdowsi University of Mashhad, Iran",null,null,null,null
Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,null,null,null,null
Universität Bremen,Universität Bremen,null,null,null,null
"Universität Kopenhagen, Dänemark","Universität Kopenhagen, Dänemark",null,null,null,null
Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,null,null,null,null
Geological Survey of Canada,Geological Survey of Canada,null,null,null,null
Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg,null,null,null,null
Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena,null,null,null,null
Universität Leipzig,Universität Leipzig,null,null,null,null
Philipps-Universität Marburg,Philipps-Universität Marburg,null,null,null,null
Staatliches Museum für Naturkunde Stuttgart,Staatliches Museum für Naturkunde Stuttgart,null,null,null,null
Technische Universität München,Technische Universität München,null,null,null,null
Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,null,null,null,null
"Max-Planck-Gesellschaft, München","Max-Planck-Gesellschaft, München",null,null,null,null
Jacobs University Bremen,Jacobs University Bremen,null,null,null,null
Gesellschaft für Wissenschaftliche Datenverarbeitung Göttingen,Gesellschaft für Wissenschaftliche Datenverarbeitung Göttingen,null,null,null,null
"Universidad de Barcelona, Spanien","Universidad de Barcelona, Spanien",null,null,null,null
"Indiana University Bloomington, USA","Indiana University Bloomington, USA",null,null,null,null
"Université de Lyon, Frankreich","Université de Lyon, Frankreich",null,null,null,null
"Leibniz-Gemeinschaft, Berlin","Leibniz-Gemeinschaft, Berlin",null,null,null,null
"University of Toronto Mississauga, Kanada","University of Toronto Mississauga, Kanada",null,null,null,null
"University of the Witwatersrand, Südafrika","University of the Witwatersrand, Südafrika",null,null,null,null
Zuse-Institut Berlin,Zuse-Institut Berlin,null,null,null,null
Universität Hamburg,Universität Hamburg,null,null,null,null
Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,null,null,null,null
Universität Regensburg,Universität Regensburg,null,null,null,null
"Universidad de La Habana, Kuba","Universidad de La Habana, Kuba",null,null,null,null
Technische Universität Braunschweig,Technische Universität Braunschweig,null,null,null,null
Georg August University Göttingen,Georg August University Göttingen,null,null,null,null
Max-Planck-Institut für Biogeochemie,Max-Planck-Institut für Biogeochemie,null,null,null,null
Niedersächsische Staats- und Universitätsbibliothek Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,null,null,null,null
Gesellschaft für wissenschaftliche Datenverarbeitung Göttingen mbH,Gesellschaft für wissenschaftliche Datenverarbeitung Göttingen mbH,null,null,null,null
Zoologisches Forschungsmuseum Alexander Koenig,Zoologisches Forschungsmuseum Alexander Koenig,null,null,null,null
Deutsches Zentrum für Luft- und Raumfahrt e.V.,Deutsches Zentrum für Luft- und Raumfahrt e.V.,null,null,null,null
"Université de Poitiers, Frankreich","Université de Poitiers, Frankreich",null,null,null,null
"University College London, UK","University College London, UK",null,null,null,null
"Arizona State University, USA","Arizona State University, USA",null,null,null,null
"Rijksuniversiteit Groningen, Niederlande","Rijksuniversiteit Groningen, Niederlande",null,null,null,null
"Firdausi-Universität Maschhad, Iran","Firdausi-Universität Maschhad, Iran",null,null,null,null
"University of California, Berkeley, USA","University of California, Berkeley, USA",null,null,null,null
"University of Utah, USA","University of Utah, USA",null,null,null,null
"University of Edinburgh, UK","University of Edinburgh, UK",null,null,null,null
"Stony Brook University, USA","Stony Brook University, USA",null,null,null,null
"Universidad Complutense de Madrid, Spanien","Universidad Complutense de Madrid, Spanien",null,null,null,null
"Universidad de Alcalá de Henares, Spanien","Universidad de Alcalá de Henares, Spanien",null,null,null,null
"Helsingin yliopisto, Finnland","Helsingin yliopisto, Finnland",null,null,null,null
"Göteborgs universitet, Schweden","Göteborgs universitet, Schweden",null,null,null,null
University of Toronto,University of Toronto,null,null,null,null
University of Bristol,University of Bristol,null,null,null,null
