institution_id,name
10378,Leibniz-Institut für Astrophysik Potsdam (AIP)
10379,Technische Hochschule Brandenburg
10380,Leibniz-Institut für Raumbezogene Sozialforschung e.V. (IRS)
10381,Hochschule Neubrandenburg
10382,Ernst-Moritz-Arndt-Universität Greifswald
10384,Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP)
12986,Friedrich-Loeffler-Institut - Bundesforschungsinstitut für Tiergesundheit
10386,Hochschule Stralsund
10387,Leibniz-Institut für Ostseeforschung Warnemünde (IOW)
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10389,Leibniz-Institut für Nutztierbiologie (FBN)
10390,Leibniz-Institut für Atmosphärenphysik an der Universität Rostock (IAP)
10391,Hochschule für Grafik und Buchkunst Leipzig
10392,"Hochschule für Musik und Theater ""Felix Mendelssohn Bartholdy"" Leipzig"
10393,Sächsische Akademie der Wissenschaften zu Leipzig
10394,Helmholtz-Zentrum für Umweltforschung (UFZ)
10395,Leibniz-Institut für Oberflächenmodifizierung e.V. (IOM)
10396,Leibniz-Institut für Troposphärenforschung e.V. (TROPOS)
10397,Leibniz-Institut für Polymerforschung Dresden (IPF)
10398,Leibniz-Institut für ökologische Raumentwicklung (IÖR) e.V.
10399,Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden (IFW) e.V.
10400,Helmholtz-Zentrum Dresden-Rossendorf (HZDR)
10401,Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU)
10402,Hochschule Magdeburg-Stendal
10403,Leibniz-Institut für Neurobiologie (LIN)
10404,Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS)
10406,Leibniz-Institut für Wirtschaftsforschung Halle (IWH)
10407,Leibniz-Institut für Pflanzenbiochemie (IPB)
10408,Hochschule Merseburg
10409,Leibniz-Institut für Gemüse- und Zierpflanzenbau Großbeeren und Erfurt
10410,Materialforschungs- und Prüfanstalt (MFPA)
10411,Hochschule für Musik Franz Liszt Weimar
10412,Hochschule Schmalkalden
10413,Ernst-Abbe-Hochschule Jena
10414,Leibniz-Institut für Photonische Technologien (IPHT)
10415,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut
10416,Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut e.V. (FLI)
10417,Thüringer Landessternwarte Tautenburg (TLS) - Karl-Schwarzschild-Observatorium
10418,Deutsches Rheuma-Forschungszentrum Berlin (DRFZ)
10420,Max-Delbrück-Centrum für Molekulare Medizin (MDC) in der Helmholtz-Gemeinschaft
10421,Hochschule für Technik und Wirtschaft Berlin
10422,Leibniz-Institut für Molekulare Pharmakologie (FMP)
10423,Helmholtz-Zentrum Berlin für Materialien und Energie GmbH (HZB)
10317,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
10178,Bundesanstalt für Materialforschung und -prüfung (BAM)
10426,Charité - Universitätsmedizin Berlin
10427,Universität Potsdam
10192,Universität Hamburg
10431,Bernhard-Nocht-Institut für Tropenmedizin (BNITM)
10435,Forschungszentrum Borstel - Leibniz Lungenzentrum
29512,Stiftung Schleswig-Holsteinische Landesmuseen Schloss Gottorf
10439,Niedersächsisches Institut für historische Küstenforschung (NIhK)
10441,Bundesanstalt für Geowissenschaften und Rohstoffe (BGR)
10442,Niedersächsisches Landesamt für Bodenforschung (NLfB)
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10445,Physikalisch-Technische Bundesanstalt (PTB)
10447,Herzog August Bibliothek Wolfenbüttel
10448,Akademie der Wissenschaften zu Göttingen
10450,Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung (DPZ)
10357,Martin-Luther-Universität Halle-Wittenberg
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10274,Technische Universität Dortmund
10276,Ruhr-Universität Bochum
10104,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel"
10460,Max-Planck-Institut für Gesellschaftsforschung (MPIFG)
10293,Rheinisch-Westfälische Technische Hochschule Aachen
10464,Max-Planck-Institut für Mathematik
10465,Universität Koblenz-Landau
10466,Deutsches Institut für Internationale Pädagogische Forschung (DIPF)
10467,Paul-Ehrlich-Institut - Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel
10468,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)"
10469,Hochschule Geisenheim University
10323,Johannes Gutenberg-Universität Mainz
10472,Römisch-Germanisches Zentralmuseum (RGZM) - Leibniz-Forschungsinstitut für Archäologie
10473,Max-Planck-Institut für Informatik
10059,Universität Stuttgart
10351,Universität Leipzig
10480,FZI Forschungszentrum Informatik am Karlsruher Institut für Technologie
10055,Albert-Ludwigs-Universität Freiburg
10057,Universität Ulm
10487,Historische Kommission
10489,Max-Planck-Institut für Innovation und Wettbewerb
10491,Max-Planck-Institut für Neurobiologie
10492,Max-Planck-Institut für Quantenoptik (MPQ)
10493,Bayerische Landesanstalt für Landwirtschaft (LfL)
10494,Hochschule Zittau/Görlitz
10426,Charité - Universitätsmedizin Berlin
10497,Deutsches Institut für Wirtschaftsforschung (DIW)
10445,Physikalisch-Technische Bundesanstalt (PTB)
10499,Universität zu Lübeck
10501,Hochschule für Technik und Wirtschaft Dresden (FH)
10503,Potsdam-Institut für Klimafolgenforschung (PIK)
