project_id_number,institution_id,relation_type
372799,10167,APPLYING
373035,10363,PARTICIPATING
373035,10768,PARTICIPATING
373035,10362,APPLYING
373214,10236,APPLYING
373314,10236,APPLYING
373419,10365,APPLYING
373608,12984,PARTICIPATING
373608,10357,APPLYING
373690,10108,APPLYING
374400,10274,APPLYING
374710,10266,APPLYING
374717,10236,APPLYING
374794,10293,APPLYING
374837,10210,APPLYING
374870,10055,APPLYING
374897,10047,APPLYING
374934,10057,APPLYING
374991,10053,APPLYING
375059,10323,APPLYING
375129,10323,APPLYING
375188,10266,PARTICIPATING
375188,10276,PARTICIPATING
375188,972220,APPLYING
375234,10119,APPLYING
375253,10121,APPLYING
375535,10280,APPLYING
375559,10272,APPLYING
375788,10276,APPLYING
375986,10286,APPLYING
376397,10108,APPLYING
378603,10351,APPLYING
388747,10208,APPLYING
421041,10206,APPLYING
425187,10049,APPLYING
440477,10115,APPLYING
441943,10233,APPLYING
443090,10236,APPLYING
446768,10711,PARTICIPATING
446768,10236,APPLYING
447482,10266,APPLYING
449590,10108,APPLYING
450043,10317,PARTICIPATING
450043,10293,PARTICIPATING
450043,10125,PARTICIPATING
450043,10059,APPLYING
451665,10194,APPLYING
452039,10593,PARTICIPATING
452039,10696,PARTICIPATING
452039,10351,APPLYING
453162,10057,APPLYING
454969,10055,APPLYING
455518,10055,APPLYING
455540,10055,APPLYING
462057,10210,APPLYING
462190,10418,PARTICIPATING
462190,10511,PARTICIPATING
462190,12939,PARTICIPATING
462190,10592,PARTICIPATING
462190,10179,PARTICIPATING
462190,10365,APPLYING
462239,10165,APPLYING
462565,10061,PARTICIPATING
462565,10097,PARTICIPATING
462565,10047,APPLYING
462999,10505,PARTICIPATING
462999,10365,APPLYING
771881,10325,APPLYING
772176,10280,APPLYING
776961,10278,APPLYING
777777,10280,APPLYING
784588,10121,APPLYING
785486,10272,APPLYING
795603,10108,APPLYING
795914,10121,APPLYING
795951,10117,APPLYING
796242,10284,APPLYING
802859,10121,APPLYING
806681,10115,APPLYING
811503,10293,APPLYING
812229,10359,APPLYING
814910,12964,PARTICIPATING
814910,10467,PARTICIPATING
814910,10206,APPLYING
818604,10593,PARTICIPATING
818604,10351,APPLYING
818681,10514,APPLYING
818879,10047,APPLYING
819604,169579332,APPLYING
819792,10236,APPLYING
820981,10319,PARTICIPATING
820981,10266,APPLYING
820988,10108,APPLYING
823482,10374,PARTICIPATING
823482,10165,APPLYING
823996,10345,APPLYING
883210,165156373,PARTICIPATING
883210,10355,APPLYING
948344,10204,APPLYING
949699,10121,APPLYING
949791,10210,APPLYING
950034,10115,APPLYING
967790,972220,APPLYING
967893,10345,APPLYING
968025,10192,APPLYING
968378,10121,APPLYING
968509,10363,APPLYING
968539,10165,APPLYING
968612,10351,APPLYING
968710,10365,APPLYING
968940,10282,APPLYING
969236,10262,PARTICIPATING
969236,10247,APPLYING
969654,10335,APPLYING
5075230,10272,APPLYING
5075236,10272,APPLYING
5075242,10272,APPLYING
5075246,10272,APPLYING
5075254,10272,APPLYING
5075260,10272,APPLYING
5075266,10272,APPLYING
5075272,10272,APPLYING
5075278,10272,APPLYING
5075282,10272,APPLYING
5075288,10272,APPLYING
5075294,10272,APPLYING
5075306,10272,APPLYING
5075312,10272,APPLYING
5075318,10272,APPLYING
5075324,10272,APPLYING
5075458,10240,APPLYING
5075464,10240,APPLYING
5075470,10240,APPLYING
5075482,10240,APPLYING
5075488,10240,APPLYING
5075494,10240,APPLYING
5075500,10240,APPLYING
5075512,10240,APPLYING
5075520,10240,APPLYING
5075526,10240,APPLYING
5075532,10240,APPLYING
5075538,10240,APPLYING
5075544,10240,APPLYING
5076564,10355,APPLYING
5076966,10323,APPLYING
5076990,10323,APPLYING
5077084,10323,APPLYING
5077090,10323,APPLYING
5077096,10323,APPLYING
5077102,10323,APPLYING
5077108,10323,APPLYING
5077116,10323,APPLYING
5077120,10323,APPLYING
5077126,10323,APPLYING
5077130,10323,APPLYING
5077136,10323,APPLYING
5077148,10323,APPLYING
5077447,10108,APPLYING
5078136,10323,APPLYING
5078184,10365,APPLYING
5078190,10051,APPLYING
5078194,10051,APPLYING
5078366,10121,APPLYING
5078370,10121,APPLYING
5078376,10121,APPLYING
5078382,10121,APPLYING
5078388,10121,APPLYING
5078400,10121,APPLYING
5078406,10121,APPLYING
5078412,10121,APPLYING
5078418,10121,APPLYING
5078430,10121,APPLYING
5078436,10121,APPLYING
5078448,10121,APPLYING
5078454,10121,APPLYING
5078460,10121,APPLYING
5078768,10204,APPLYING
5079762,10059,APPLYING
5079768,10059,APPLYING
5079866,10427,APPLYING
5079872,10365,APPLYING
5079878,10165,APPLYING
5080066,10108,APPLYING
5080082,10108,APPLYING
5080130,10108,APPLYING
5080248,10182,APPLYING
5080254,10182,APPLYING
5080266,10182,APPLYING
5080272,10182,APPLYING
5080276,10182,APPLYING
5080282,10182,APPLYING
5080288,10182,APPLYING
5080294,10182,APPLYING
