project_id,country
5206292,USA
5206458,Indonesien
5206466,USA
5206490,Belgien
5206490,Niederlande
5206528,USA
5206558,Schweiz
5206566,USA
5206584,Frankreich
5206626,USA
5206656,USA
5206747,USA
5206760,USA
5206778,USA
5206826,USA
5206852,USA
5206954,Niederlande
5206954,Schweden
5206960,Schweiz
5207034,Österreich
5207046,Großbritannien
5207072,USA
5207206,USA
5207230,USA
5207360,Tadschikistan
5207372,USA
5207438,USA
5207642,USA
5207668,Großbritannien
5207680,USA
5207694,USA
5208026,Frankreich
5208070,Finnland
5208070,USA
5208094,USA
5208142,USA
5208160,USA
5208296,USA
5208304,USA
5208368,USA
5208374,Finnland
5208374,Niederlande
5208382,USA
5208452,USA
5208470,Großbritannien
5208506,USA
5208770,Frankreich
5208770,Großbritannien
5208792,Niederlande
5208798,Frankreich
5208817,Thailand
5208892,Großbritannien
5208916,China
5209000,Großbritannien
5209068,USA
5209082,Neuseeland
5209118,USA
5209136,Großbritannien
5209170,Schweden
5209244,USA
5209274,Spanien
5209464,USA
5209484,Großbritannien
5209496,USA
5209536,Äthiopien
5209536,Niger
5209554,USA
5209560,Ägypten
5209630,USA
5209668,USA
5209814,USA
5209861,Niederlande
5209996,USA
5210032,USA
5210050,Kanada
5210080,USA
5210086,USA
5210140,USA
5210166,USA
5210230,Namibia
5210254,Frankreich
5210284,Frankreich
5210290,Schweiz
5210386,Großbritannien
5210466,USA
5210490,USA
5210499,USA
5210552,USA
5210614,USA
5210628,Österreich
5210634,USA
5210652,USA
5210702,USA
5210708,Frankreich
5210728,USA
5210749,USA
5210762,Frankreich
5210792,Frankreich
5210804,Großbritannien
5210816,Niederlande
5210840,Polen
5210846,Schweden
5210924,Frankreich
5210924,Israel
5210924,Japan
5210924,USA
5211014,USA
5211100,Niederlande
5211148,Japan
5211148,USA
5211334,USA
5211381,USA
5211400,Österreich
5211402,USA
5211474,USA
5211568,USA
5211587,Italien
5211638,Chile
5211644,Neuseeland
5211644,USA
5211678,USA
5211754,USA
5211912,Frankreich
5211924,USA
5212202,Indonesien
5212208,USA
5212456,Schweiz
5212610,Neuseeland
5212686,Großbritannien
5212820,Schweiz
5212956,USA
5213046,Laos
5213118,USA
5213142,Russische Föderation
5213170,Russische Föderation
5213230,USA
5213356,Japan
5213374,USA
5213414,Japan
5213552,USA
5213703,USA
5213984,USA
5214060,Großbritannien
5214060,Schweden
5214060,USA
5214066,USA
5214094,Österreich
5214104,USA
5214110,Russische Föderation
5214149,USA
5214212,Malaysia
5214224,Schweden
5214236,USA
5214498,USA
5214540,USA
5214546,USA
5214568,Israel
5214568,Russische Föderation
5214568,USA
5214586,Uganda
5214586,USA
5214610,Indonesien
5214670,USA
5214694,Österreich
5214758,USA
5214866,USA
5214878,USA
5214920,USA
5215156,Schweiz
5215208,Großbritannien
5215296,USA
5215308,Großbritannien
5215308,Israel
5215308,Österreich
5215362,Großbritannien
5215370,Türkei
5215438,USA
5215451,Großbritannien
5215588,USA
5215650,USA
5215662,USA
5215708,Türkei
5215914,USA
5216036,USA
5216052,Kanada
5216112,Österreich
5216270,Frankreich
5216276,Belgien
5216276,Niederlande
5216488,USA
5216574,Marokko
5216610,Österreich
5216684,Argentinien
5216780,USA
5216798,Israel
5216816,USA
5216827,USA
5217192,Kuba
5217240,Italien
5217448,USA
5217656,Kanada
5217746,Großbritannien
5217782,Kanada
5217808,USA
5217892,USA
5217986,Norwegen
5218022,Kolumbien
5218052,USA
5218058,USA
5218058,Weißrussland
5218322,USA
5218496,USA
5218540,Australien
5218552,USA
5218564,Schweiz
5218570,Frankreich
5218656,Großbritannien
5218701,Italien
5218708,China
5218756,Benin
5218890,Schweiz
5218914,USA
5219122,Niederlande
5219212,USA
5219450,USA
5219742,USA
5219866,USA
5219884,USA
5219956,China
5220144,Russische Föderation
5220158,Australien
5220266,USA
5220322,Niederlande
5220532,Großbritannien
5220586,USA
5220593,USA
5220770,Großbritannien
5220874,Nicaragua
5220886,Großbritannien
5220886,USA
5220906,Italien
5221032,USA
5221058,Ecuador
5221102,Schweiz
5221110,USA
5221176,USA
5221254,Belgien
5221258,USA
5221284,USA
5221492,Finnland
5221786,USA
5221852,Sri Lanka
5222084,Australien
5222098,Großbritannien
5222276,USA
5222282,Kanada
5222288,Schweiz
5222448,Russische Föderation
5222518,USA
5222814,USA
5222832,Schweiz
5222832,USA
5222944,China
5222962,Schweden
5223196,Russische Föderation
5223344,USA
5223362,Russische Föderation
5223492,Frankreich
5223492,Kanada
5223554,USA
5223726,Japan
5223738,USA
5223782,USA
5223880,USA
5223942,Russische Föderation
5223978,Dänemark
5224260,USA
5224268,Frankreich
5224284,Ukraine
5224302,USA
5224376,Frankreich
5224376,Großbritannien
5224376,Kanada
5224376,USA
5224592,USA
5224670,Schweden
5224686,Ungarn
5224702,USA
5224816,Großbritannien
5224816,Russische Föderation
5224872,Schweiz
5224884,USA
5224966,USA
5225196,USA
5225202,Schweden
5225344,USA
5225354,USA
5225360,Schweiz
5225506,Frankreich
5225506,Großbritannien
5225614,Australien
5225862,USA
5225878,USA
5225895,Marokko
5225964,Australien
5225972,Australien
5226022,USA
5226044,USA
5226106,USA
5226124,Dänemark
5226148,Indonesien
5226172,USA
5226184,Österreich
5226264,Österreich
5226292,Dänemark
5226292,USA
5226314,Israel
5226334,Saudi-Arabien
5226364,Japan
5226444,Schweiz
5226506,Frankreich
5226506,Israel
5226576,Japan
5226622,USA
5226676,Polen
5226750,Österreich
5226764,Schweden
5226772,Großbritannien
5226824,Tansania
5227024,Iran
5227066,Italien
5227072,USA
5227124,Tansania
5227254,USA
5227268,Schweiz
5227268,USA
5227274,Kenia
5227294,Niederlande
5227306,Spanien
5227330,USA
5227384,Dänemark
5227402,Russische Föderation
5227478,China
5227490,USA
5227504,Rumänien
5227582,USA
5227690,Indien
5227822,Frankreich
5227822,Israel
5227822,Russische Föderation
5227822,USA
5227844,Israel
5227868,USA
5227908,Italien
5227908,USA
5228086,USA
5228128,Frankreich
5228128,Großbritannien
5228128,Spanien
5228224,Großbritannien
5228254,USA
5228310,USA
5228388,Slowenien
5228538,Thailand
5228538,USA
5228550,Kenia
5228706,Spanien
5228739,Bhutan
5228739,Großbritannien
5228860,China
5228947,Japan
5228947,Russische Föderation
5228947,Schweiz
5228984,USA
5229018,Russische Föderation
5229090,Italien
5229114,Dänemark
5229114,Taiwan
5229156,USA
5229212,USA
5229224,Nepal
5229286,Indonesien
5229308,Frankreich
5229544,Italien
5229598,Österreich
5229640,USA
5229696,Frankreich
5229756,USA
5229952,Polen
5229964,Frankreich
5230062,USA
5230152,Schweiz
5230476,USA
5230522,USA
5230694,USA
5230950,USA
5230962,Australien
5231126,USA
5231172,USA
5231181,USA
5231206,USA
5231278,USA
5231598,Großbritannien
5231710,Israel
5231792,Russische Föderation
5231856,USA
5231868,Kanada
5231880,Bolivien
5231886,China
5232106,Syrien
5232310,Kanada
5232384,Finnland
5232470,Israel
5232616,Spanien
5232738,USA
5232884,USA
5232934,USA
5232982,Thailand
5233012,Chile
5233072,Namibia
5233142,Schweiz
5233282,Niederlande
5233282,USA
5233356,USA
5233396,USA
5233434,USA
5233459,USA
5233466,USA
5233600,Jamaika
5233664,USA
5233996,USA
5234075,USA
5234194,USA
5234260,Israel
5234384,Niederlande
5234456,Brasilien
5234466,Schweiz
5234630,Großbritannien
5234868,USA
5235026,Süd-Korea
5235100,USA
5235108,USA
5235112,USA
5235165,Niederlande
5235208,USA
5235220,USA
5235226,Großbritannien
5235232,USA
5235338,Russische Föderation
5235496,Tansania
5235526,USA
5235612,Schweden
5235618,Israel
5235670,Niederlande
5235700,Spanien
5235738,Großbritannien
5235824,Russische Föderation
5235865,Namibia
5235958,Kanada
5236088,Schweiz
5236290,USA
5236454,USA
5236538,USA
5236626,Frankreich
5236632,USA
5236649,USA
5236688,USA
5236700,Kanada
5236720,Frankreich
5236792,Niederlande
5236804,USA
5236912,Österreich
5237124,Niederlande
5237328,Israel
5237328,Palästina
5237408,Madagaskar
5237438,USA
5237490,USA
5237517,USA
5237568,Ecuador
