project_id,subject_area
372766,Medizin
372766,Amerikanistik
372766,Erziehungswissenschaften
372766,Skandinavistik
372766,Germanistik
372766,Afrikanistik
372766,Medizingeschichte
372766,Jura
372766,Kulturwissenschaften
372766,Geschichte
372766,Religionswissenschaften
372799,Architektur
372799,Europäische Ethnologie
372799,Film- und Medienwissenschaften
372799,Stadtsoziologie
372799,Stadtplanung
372799,Semiotik
372799,Neueste Geschichte
372799,Neuere Geschichte
372799,Kunstgeschichte
372799,Kulturwissenschaften
372799,Germanistik
372799,Architektursoziologie
373035,Wissenschaftsgeschichte
373035,Neuere Geschichte
373035,Zeitgeschichte
373035,Geschichtswissenschaften
373035,Archäologie
373035,Kommunikationswissenschaften
373035,Kunstgeschichte
373035,Kulturwissenschaften
373035,Medienwissenschaften
373035,Filmwissenschaften
373035,Literaturwissenschaften
373214,Angewandte Mathematik
373214,Dynamische Systeme
373214,Mathematische Optimierung
373214,Mathematische Stochastik
373214,Mathematische Modellierung
373214,Genetik
373214,Medizin
373214,Numerische Mathematik
373214,Mathematische Statistik
373214,Physik
373214,Biologie
373314,Mediävistik
373314,Umweltgeschichte
373314,Forstgeschichte
373314,Historische Landesforschung
373314,Umwelt- und Ressourcenökonomik
373314,Naturschutz
373314,Humanökologie
373314,Historische Geographie
373314,Wirtschafts- und Sozialgeschichte
373314,Mittlere und Neuere Geschichte
373314,Ur- und Frühgeschichte
373314,Politikwissenschaft
373608,Proteinchemie
373608,Chemie
373608,Biologie
373608,Proteinfaltung
373608,Biotechnologie
373608,Physik
373608,Biochemie
373608,Strukturbiologie
373608,Biophysik
374400,Biometrie
374400,Ökonometrie
374400,Mathematische Statistik
374400,Statistik
374400,Datenanalyse/Datenerhebung
374400,Technometrie
374400,Computergestützte Statistik
374710,Dermatologie
374710,Molekularbiologie
374710,Umweltmedizin
374710,Medizinische Biochemie
374710,Onkologie
374710,Neuropathologie
374710,Neurologie
374710,Molekulare Medizin
374710,Klinische Chemie
374710,Entwicklungsbiologie
374710,Hämatologie
374710,Gastroenterologie
374717,Onkologie
374717,Humangenetik
374717,Physiologie
374717,Hämatologie
374717,Medizinische Statistik
374717,Historische Anthropologie
374717,Pädiatrie
374717,Strukturbiologie
374717,Immunologie
374717,Dermatologie
374717,Klinische Pharmakologie
374794,Biochemie
374794,Molekulare Biologie
374794,Biomaterialien
374794,Immunpharmakologie
374794,Materialwiss. orientierte anorg. Chemie
374794,Bioelektronische Hybrid-Bauelemente
374794,Funktionale Polymere
374794,Zellbiologie
374794,Biophysik
374794,Experimentelle Festkörperphysik
374794,Mikrosystemtechnik
374837,Angewandte Physik
374837,Optische Nachrichtentechnik
374837,Mikroelektronische Systeme
374837,Kondensierte Materie
374837,Funkkommunikation
374837,Elektronische Materialeigenschaften
374837,Theorie Elektromagnetischer Felder
374837,Höchstfrequenzelektronik
374837,Mikrowellenelektronik
374870,Organische Chemie
374897,Kernphysik
374897,Computerarchitektur
374897,(Hardware-)Informatik
374897,Teilchenphysik
374897,Detektorphysik
374897,(Mikro-)Elektronik
374934,Diabetologie
374934,Zellbiologie
374934,Vaskuläre Medizin
374934,Immunologie
374934,Endokrinologie
374934,Gastroenterologie
374991,Bioinformatik
374991,Informationswissenschaft
374991,Computervisualistik
374991,Informatik
375059,Biologie
375059,Medizin
375059,Mikrobiologie
375059,Virologie
375059,Immunologie
375129,Biochemie
375129,Neurophysiologie
375129,Pharmakologie
375129,Neuroradiologie
375129,Zellbiologie
375129,Psychiatrie
375129,Nuklearmedizin
375129,Neurologie
375129,Genetik
375129,Molekularbiologie
375129,Neurobiologie
375129,Neuroanatomie
375188,Hepatologie
375188,Virologie
375188,Medizinische Mikrobiologie
375188,Molekulare Biologie
375188,Zellbiologie
375188,Innere Medizin
375188,Immunologie
375234,Alte Geschichte
375234,Kirchengeschichte
375234,Romanische Literaturwissenschaft
375234,Englische Literaturwissenschaft
375234,Ur- und frühgeschichtliche Archäologie
375234,Neutestamentliche Wissenschaften
375234,Deutsche Philologie des Mittelalters
375234,Mittelalterliche Geschichte
375234,Latinistik
375234,Gräzistik
375253,Biochemie
375253,Biomedizin
375253,Zellbiologie
375253,Biophysik
375253,Entwicklungsbiologie
375253,Neurobiologie
375253,Molekulargenetik
376397,Theoretische Teilchenphysik
376397,Experimentelle Teilchenphysik
378603,Biophysik
378603,Geophysik
378603,Physik
378603,Technische Chemie
378603,Physikalische Chemie
378603,Chemie
388747,Pharmakologie
388747,Immunologie
388747,Humanmedizin
388747,Anatomie
388747,Tiermedizin
388747,Biochemie
388747,Mikrobiologie
388747,Genetik
388747,Molekularbiologie
388747,Pneumologie
388747,Zellbiologie
421041,Alte Geschichte
421041,Geschichte des Mittelalters
421041,Wirtschafts- und Sozialgeschichte
421041,Geschichte des 19. Jahrhunderts
421041,Geschichte der politischen Theorien
421041,Geschichte der Frühen Neuzeit
421041,Wissenschaftsgeschichte
421041,Zeitgeschichte
425187,Bodenkunde
425187,Physik
425187,Landwirtschaftliche Betriebslehre
425187,Agrarinformatik
425187,Landwirtschaftliche Entwicklungstheorie/-politik
425187,Biogeophysik
425187,Pflanzenökologie
425187,Pflanzenzüchtung
425187,Pflanzenernährung
425187,Pflanzenbau
440477,Genetik
440477,Bioinformatik
440477,Immunologie
440477,Pathologie
440477,Virologie
446768,Stoffflussmodellierung
446768,Baumphysiologie
446768,Pflanzenökologie
446768,Bodenbiologie
446768,Bodenkunde
446768,Tierökologie
446768,Vegetationsökologie
446768,Biogeochemie
446768,Hydrologie
446768,Waldökologie
446768,Entomologie
446768,Umwelt- und Ressourcenökonomik
449590,Neurophysiologie
449590,Computational Neurobiologie
449590,Neurobiologie
449590,Psychologie
449590,Neurologie
449590,Experimentelle Neurologie
449590,Systemneurobiologie
449590,Psychophysik
450043,Thermodynamik
450043,Luftfahrtantriebe
450043,Flugantriebe
450043,Mechanik
450043,Numerische Mathematik
450043,Aerodynamik
450043,Verbrennung
450043,Statik
450043,Strömungsmechanik
450043,Gasdynamik
450043,Dynamik
451665,Massivbau
451665,Geotechnik
451665,Schiffstheorie
451665,Stahlbau
451665,Schiffstechnik
451665,Meerestechnik
451665,Modellierung und Berechnung
451665,Fluiddynamik
451665,Mechanik
452039,Neurochemie
452039,Physik der Weichen Materie
452039,Molekularbiologie
452039,Neurophysiologie
452039,Angewandte Mathematik
452039,Neurobiologie
452039,Augenheilkunde
452039,Neuroanatomie
452039,Nukleare Festkörperphysik
452039,Molekulare Biochemie
453162,Operations Research
453162,Wahrscheinlichkeitstheorie
453162,Aktuarwissenschaften
453162,Finanzmathematik
453162,Wirtschaftspolitik
453162,Finanzwirtschaft
453162,Stochastik
453162,Zahlentheorie
453162,Angewandte Analysis
453162,Angewandte Informationsverarbeitung
453162,Numerik
454969,Theoretische Elementarteilchenphysik
454969,Experimentelle Elementarteilchenphysik
455518,Autonome intelligente Systeme
455518,Programmiersprachen
455518,Sensoren
